id,customer_id,customer_name,gender,phone_number,province,biz_type,monthly_income,product_interest,potential,customer_behavior,bank_info,amount,interest_rate,loan_type,tenure,start_year,latitude,longitude,visit_date,created_at
1,CUST1000,Vannak Savuth,F,072 975 3277,Battambang,Coffee,8890.0,Personal Loan,M,Hesitant,ACLEDA,41977.0,7.4,Loan,24,2025,13.316965,103.086503,2025-09-07 23:56:40,2025-09-11 23:56:40
2,CUST1001,Bopha Savuth,M,045 339 5563,Phnom Penh,Fruit Vendor,19310.0,Savings Account,M,Hesitant,ACLEDA,25367.0,6.2,Loan,12,2023,11.524669,104.91936,2025-07-28 23:56:40,2025-09-11 23:56:40
3,CUST1002,Vannak Heng,F,051 697 9118,Siem Reap,Coffee,24220.0,Business Loan,M,Aggressive,ACLEDA,35035.0,7.7,Loan,12,2023,13.386059,104.126831,2025-08-31 23:56:40,2025-09-11 23:56:40
4,CUST1003,Bopha Savuth,M,076 528 3859,Battambang,Coffee,9570.0,Personal Loan,L,Aggressive,ABA,26644.0,13.2,Loan,36,2023,13.460975,102.877715,2025-08-10 23:56:40,2025-09-11 23:56:40
5,CUST1004,Dara Heng,M,018 346 1453,Phnom Penh,Grocery,6320.0,Savings Account,H,Interested,ACLEDA,17742.0,8.9,Loan,24,2025,11.533566,104.97117,2025-08-16 23:56:40,2025-09-11 23:56:40
6,CUST1005,Ravy Savuth,F,064 860 1426,Kandal,Coffee,13730.0,Savings Account,L,Hesitant,ABA,42800.0,12.6,Loan,24,2024,11.381208,105.040097,2025-07-24 23:56:40,2025-09-11 23:56:40
7,CUST1006,Sok Ly,M,025 927 1145,Siem Reap,Fruit Vendor,10570.0,Savings Account,L,Hesitant,ABA,23968.0,11.7,Loan,36,2023,13.137045,103.556767,2025-08-16 23:56:40,2025-09-11 23:56:40
8,CUST1007,Bopha Heng,F,049 317 5204,Kandal,Fruit Vendor,11410.0,Savings Account,L,Friendly,ABA,7884.0,13.2,Loan,24,2025,11.549553,104.759628,2025-08-03 23:56:40,2025-09-11 23:56:40
9,CUST1008,Sok Savuth,F,098 193 3359,Kandal,Phone Repair,16320.0,Savings Account,M,Aggressive,ABA,46224.0,13.2,Loan,12,2024,11.770936,105.058311,2025-07-06 23:56:40,2025-09-11 23:56:40
10,CUST1009,Vannak Heng,M,011 708 2245,Siem Reap,Fruit Vendor,17260.0,Personal Loan,L,Hesitant,Canadia,18064.0,10.8,Loan,12,2023,13.490455,103.905072,2025-06-15 23:56:40,2025-09-11 23:56:40
11,CUST1010,Vannak Savuth,M,055 225 2342,Phnom Penh,Grocery,3960.0,Business Loan,L,Hesitant,ACLEDA,34387.0,11.7,Loan,36,2025,11.56057,104.950533,2025-08-20 23:56:40,2025-09-11 23:56:40
12,CUST1011,Dara Heng,M,099 993 9077,Battambang,Coffee,21250.0,Savings Account,M,Friendly,Canadia,23702.0,5.9,Loan,24,2023,13.415112,103.051881,2025-06-23 23:56:40,2025-09-11 23:56:40
